deal_totalPrice,gross_area,address,house_age,deal_time,deal_unitPrice,floor_number,house_decoration,house_orientation,house_usage,household_style,is_two_five,longitude_latitude,region,with_elevator,xiaoqu,lon,lat
113,113.3,lvshunkou1,8,2019-08,9939,26,精装,南 北,普通住宅,2室1厅1厨1卫,0,"121.333539,38.828823",lvshunkou,1,亿达蓝湾,121.33353899999999,38.828823
95,89.08,zhonghai2,10,2015-11,10609,24,精装,南 西,普通住宅,2室1厅1厨1卫,2,"121.528923,38.871145",gaoxinyuanqu,1,中海华庭,121.52892299999999,38.871145
180,152.82,zhonghai2,11,2016-02,11779,24,精装,南 北,普通住宅,4室2厅1厨2卫,0,"121.528923,38.871145",gaoxinyuanqu,1,中海华庭,121.52892299999999,38.871145
118,93.0,zhonghai2,6,2016-04,12689,32,其他,南,普通住宅,2室2厅1厨1卫,0,"121.531055,38.869077",gaoxinyuanqu,1,中海紫御观邸三期,121.53105500000001,38.869077000000004
118,93.0,wanda3,7,2016-03,12635,32,其他,南,普通住宅,2室1厅1厨1卫,0,"121.527594,38.87021",shahekou,1,中海紫御观邸二期,121.527594,38.87021
112,93.0,zhonghai2,7,2016-04,12044,32,毛坯,南,普通住宅,2室2厅1厨1卫,0,"121.527594,38.87021",gaoxinyuanqu,1,中海紫御观邸二期,121.527594,38.87021
112,93.0,wanda3,11,2016-05,12044,24,简装,南,普通住宅,2室1厅1厨1卫,0,"121.528923,38.871145",shahekou,1,中海华庭,121.52892299999999,38.871145
115,94.0,zhonghai2,11,2016-04,12181,24,精装,南,普通住宅,2室2厅1厨1卫,2,"121.528923,38.871145",gaoxinyuanqu,1,中海华庭,121.52892299999999,38.871145
115,94.0,quanshuilongpanjinquan,11,2019-06,12235,16,精装,东 南 北,普通住宅,3室2厅1厨1卫,5,"121.645147,39.023279",ganjingzi,1,泉水N3区,121.645147,39.023278999999995
161,99.0,zhonghai2,7,2016-05,16263,9,其他,南 北,普通住宅,3室1厅1厨1卫,0,"121.528417,38.869767",gaoxinyuanqu,1,中海紫御观邸一期,121.52841699999999,38.869766999999996
140,117.08,zhonghai2,10,2016-05,11958,24,精装,南 北,普通住宅,3室2厅1厨1卫,0,"121.528923,38.871145",gaoxinyuanqu,1,中海华庭,121.52892299999999,38.871145
113,93.0,zhonghai2,11,2016-06,12097,24,精装,南,普通住宅,2室2厅1厨1卫,0,"121.528923,38.871145",gaoxinyuanqu,1,中海华庭,121.52892299999999,38.871145
157,105.02,zhongshanyouhao,25,2015-08,14902,6,简装,东 南 西,普通住宅,3室2厅1厨1卫,0,"121.655353,38.927866",zhongshan,1,九中安乐街,121.655353,38.927865999999995
125,45.24,zhongshanyouhao,8,2015-09,27520,34,精装,东,普通住宅,1室0厅1厨1卫,0,"121.652328,38.924396",zhongshan,1,汇邦中心,121.652328,38.924396
125,45.24,zhongshanyouhao,8,2017-03,27520,34,其他,东 东北,普通住宅,1室1厅1厨1卫,0,"121.652328,38.924396",zhongshan,1,汇邦中心,121.652328,38.924396
125,45.24,zhongshanyouhao,8,2017-01,27631,34,其他,东 北,普通住宅,1室0厅1厨1卫,0,"121.652328,38.924396",zhongshan,1,汇邦中心,121.652328,38.924396
137,65.05,zhongshanyouhao,28,2015-10,20984,7,简装,南 北,普通住宅,1室1厅1厨1卫,0,"121.6541,38.925281",zhongshan,0,九中爱华街,121.6541,38.925281
139,72.45,zhongshanyouhao,7,2016-03,19186,42,精装,西北,普通住宅,1室1厅1厨1卫,0,"121.653604,38.927406",zhongshan,1,一方国际,121.653604,38.927406
132,45.24,zhongshanyouhao,8,2016-06,29178,34,精装,西南,普通住宅,1室0厅1厨1卫,0,"121.652328,38.924396",zhongshan,1,汇邦中心,121.652328,38.924396
132,45.24,zhongshanyouhao,8,2017-04,29178,34,其他,东北,普通住宅,1室0厅1厨1卫,0,"121.652328,38.924396",zhongshan,1,汇邦中心,121.652328,38.924396
126,86.06,zhongshanyouhao,16,2016-07,14583,32,其他,西 北,普通住宅,1室1厅1厨1卫,0,"121.653248,38.924848",zhongshan,1,中山九号,121.653248,38.924848
140,108.3,zhongshanyouhao,16,2016-07,12928,32,精装,西 北,普通住宅,2室2厅1厨1卫,0,"121.653248,38.924848",zhongshan,1,中山九号,121.653248,38.924848
120,101.3,zhoushuizi,16,2015-08,11847,12,精装,南 北,普通住宅,2室2厅1厨1卫,0,"121.571101,38.952548",ganjingzi,1,星加坡花园,121.571101,38.952548
115,140.33,qianguan,5,2017-02,8160,5,其他,南 北,普通住宅,4室2厅1厨2卫,2,"121.665027,39.042918",ganjingzi,1,金地艺境,121.665027,39.042918
110,134.0,qianguan,5,2017-03,8209,7,其他,南 北,普通住宅,3室2厅1厨2卫,0,"121.665027,39.042918",ganjingzi,1,金地艺境,121.665027,39.042918
110,134.0,hualu,25,2017-03,8209,6,精装,南 北,普通住宅,4室2厅1厨2卫,5,"121.530065,38.858078",gaoxinyuanqu,0,华录园,121.530065,38.858078000000006
109,130.35,qianguan,5,2017-03,8363,7,其他,南 北,普通住宅,3室2厅1厨2卫,0,"121.665027,39.042918",ganjingzi,1,金地艺境,121.665027,39.042918
89,117.0,qianguan,4,2017-04,7590,27,其他,南 北,普通住宅,3室1厅1厨1卫,0,"121.665027,39.042918",ganjingzi,1,金地艺境,121.665027,39.042918
89,117.0,qianguan,4,2017-04,7607,29,毛坯,南 北,普通住宅,3室1厅1厨1卫,0,"121.665027,39.042918",ganjingzi,1,金地艺境,121.665027,39.042918
89,117.0,qianguan,4,2017-04,7590,27,其他,南 北,普通住宅,3室1厅1厨1卫,0,"121.665027,39.042918",ganjingzi,1,金地艺境,121.665027,39.042918
89,117.0,qianguan,4,2017-04,7607,29,毛坯,南 北,普通住宅,3室1厅1厨1卫,0,"121.665027,39.042918",ganjingzi,1,金地艺境,121.665027,39.042918
144,145.47,qianguan,9,2017-06,9875,7,其他,南 北,普通住宅,4室2厅1厨2卫,0,"121.665027,39.042918",ganjingzi,1,金地艺境,121.665027,39.042918
120,133.0,qianguan,5,2017-07,9023,7,其他,南 北,普通住宅,3室2厅1厨2卫,0,"121.665027,39.042918",ganjingzi,1,金地艺境,121.665027,39.042918
120,133.0,haifu,12,2019-05,9023,26,精装,南 北,普通住宅,3室1厅1厨2卫,0,"121.808139,39.032084",kaifaqudl,1,水御兰庭,121.80813899999998,39.032084000000005
110,129.0,qianguan,5,2017-08,8528,18,其他,南 北,普通住宅,3室2厅1厨2卫,0,"121.665027,39.042918",ganjingzi,1,金地艺境,121.665027,39.042918
95,141.44,zhanqian,19,2018-09,6717,7,毛坯,南 北,普通住宅,3室1厅1厨1卫,0,"121.733149,39.097263",jinzhou,0,盛滨花园C区,121.733149,39.097263
97,142.0,zhanqian,19,2019-05,6831,7,简装,南 北,普通住宅,3室2厅1厨1卫,0,"121.722741,39.094912",jinzhou,0,南棉小区,121.72274099999998,39.094912
83,118.15,zhanqian,18,2019-05,7025,7,简装,南 北,普通住宅,3室2厅1厨1卫,0,"121.727813,39.093062",jinzhou,0,金源花园小区,121.72781299999998,39.093061999999996
87,134.5,zhanqian,16,2019-01,6447,18,其他,南 北,普通住宅,3室2厅1厨2卫,0,"121.72275181639,39.092176577691",jinzhou,1,金连福地,121.72275181639,39.092176577691
85,119.22,zhanqian,16,2019-03,7130,6,其他,南 北,普通住宅,3室1厅1厨1卫,0,"121.734591,39.095975",jinzhou,0,盛滨花园B区,121.734591,39.095975
85,135.86,zhanqian,15,2018-09,6257,7,简装,南 北,普通住宅,3室2厅1厨1卫,5,"121.727813,39.093062",jinzhou,0,金源花园小区,121.72781299999998,39.093061999999996
81,125.47,zhanqian,18,2017-04,6400,15,精装,东南,普通住宅,5室2厅1厨3卫,5,"121.730014,39.098404",jinzhou,1,冠军大厦,121.73001399999998,39.098403999999995
